hole_id,collect_date,analyte,from,to,result_num,units,result_label,result,qualifier,mdl,pql
DPT10A,2020-06-23T10:57:00Z,Vinyl chloride,62.4,64.4,0,ug/L,ND,12.5U,U,5.00,25.0
DPT10A,2020-06-23T13:15:00Z,Vinyl chloride,66.2,68.2,0,ug/L,ND,50.0U,U,20.0,100
DPT10A,2020-06-23T16:38:00Z,Vinyl chloride,73.5,75.5,77,ug/L,77,77.0J,J,20.0,100
DPT10A,2020-06-24T09:27:00Z,Vinyl chloride,78,80,23,ug/L,23,23.0J,J,20.0,100
DPT10A,2020-06-25T10:04:00Z,Vinyl chloride,83.6,85.6,0,ug/L,ND,1.00U,U,0.400,2.00
DPT11A,2020-06-17T11:55:00Z,Vinyl chloride,52.5,54.5,0,ug/L,ND,2.50U,U,1.00,5.00
DPT11A,2020-06-17T13:50:00Z,Vinyl chloride,59.4,61.4,409,ug/L,409,409,NA,10.0,50.0
DPT12A,2020-06-23T10:30:00Z,Vinyl chloride,48,50,2.9499999999999997,ug/L,2.95,2.95J,J,1.00,5.00
DPT12A,2020-06-23T12:50:00Z,Vinyl chloride,53,55,0,ug/L,ND,2.50U,U,1.00,5.00
DPT13A,2020-07-12T11:25:00Z,Vinyl chloride,53,55,0,ug/L,ND,1.00U,U,0.400,2.00
DPT13A,2020-07-12T15:46:00Z,Vinyl chloride,60,62,0,ug/L,ND,2.50U,U,1.00,5.00
DPT13A,2020-07-13T10:11:00Z,Vinyl chloride,65,67,0,ug/L,ND,5.00U,U,2.00,10.0
DPT13A,2020-07-13T12:44:00Z,Vinyl chloride,72,74,0,ug/L,ND,5.00U,U,2.00,10.0
DPT13A,2020-07-13T15:05:00Z,Vinyl chloride,81.2,83.2,0,ug/L,ND,25.0U,U,10.0,50.0
DPT14A,2020-07-07T13:31:00Z,Vinyl chloride,47.6,49.6,0,ug/L,ND,1.00U,U,0.400,2.00
DPT14A,2020-07-06T16:30:00Z,Vinyl chloride,52.3,54.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT14A,2020-07-08T09:51:00Z,Vinyl chloride,62.9,64.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT14A,2020-07-08T17:05:00Z,Vinyl chloride,76,78,0,ug/L,ND,5.00U,U,2.00,10.0
DPT17A,2020-07-01T15:14:00Z,Vinyl chloride,53.5,55.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT17A,2020-07-01T17:01:00Z,Vinyl chloride,70.3,72.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-15T11:56:00Z,Vinyl chloride,50.7,52.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-15T16:28:00Z,Vinyl chloride,60.8,62.8,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-16T11:08:00Z,Vinyl chloride,62.7,64.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT20A,2020-06-16T13:03:00Z,Vinyl chloride,77,79,0,ug/L,ND,5.00U,U,2.00,10.0
DPT20A,2020-06-16T15:27:00Z,Vinyl chloride,83.8,85.8,0,ug/L,ND,12.5U,U,5.00,25.0
DPT20A,2020-06-16T17:16:00Z,Vinyl chloride,90,92,0,ug/L,ND,0.500U,U,0.200,1.00
DPT21A,2020-06-30T12:30:00Z,Vinyl chloride,50.5,52.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT21A,2020-06-30T15:35:00Z,Vinyl chloride,62.9,64.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT21A,2020-07-01T09:16:00Z,Vinyl chloride,72.5,74.5,0,ug/L,ND,5.00U,U,2.00,10.0
DPT21A,2020-07-01T11:21:00Z,Vinyl chloride,82,84,0,ug/L,ND,50.0U,U,20.0,100
DPT23A,2020-06-26T15:23:00Z,Vinyl chloride,47.1,49.1,0,ug/L,ND,1.00U,U,0.400,2.00
DPT23A,2020-06-26T16:40:00Z,Vinyl chloride,52.1,54.1,57.1,ug/L,57.1,57.1,NA,0.200,1.00
DPT23A,2020-06-27T11:22:00Z,Vinyl chloride,58.3,60.3,0,ug/L,ND,5.00U,U,2.00,10.0
DPT23A,2020-06-27T13:28:00Z,Vinyl chloride,63,65,0,ug/L,ND,5.00U,U,2.00,10.0
DPT24A,2020-06-13T16:19:00Z,Vinyl chloride,50.3,52.3,0,ug/L,ND,12.5U,U,5.00,25.0
DPT24A,2020-06-14T10:30:00Z,Vinyl chloride,55,57,0,ug/L,ND,12.5U,U,5.00,25.0
DPT24A,2020-06-14T12:38:00Z,Vinyl chloride,60,62,12.3,ug/L,12.3,12.3J,J,5.00,25.0
DPT25A,2020-07-10T14:48:00Z,Vinyl chloride,44.8,46.8,0,ug/L,ND,0.500U,U,0.200,1.00
DPT25A,2020-07-10T16:44:00Z,Vinyl chloride,53,55,0,ug/L,ND,0.500U,U,0.200,1.00
DPT25A,2020-07-11T16:13:00Z,Vinyl chloride,60.2,62.2,0,ug/L,ND,25.0U,U,10.0,50.0
DPT27A,2020-07-09T14:44:00Z,Vinyl chloride,42.7,44.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT27A,2020-07-10T15:33:00Z,Vinyl chloride,55.7,57.7,0,ug/L,ND,25.0U,U,10.0,50.0
DPT31A,2020-05-29T09:30:00Z,Vinyl chloride,15,17,0,ug/L,ND,0.500U,U,0.200,1.00
DPT31A,2020-05-29T13:42:00Z,Vinyl chloride,23,25,0,ug/L,ND,0.500U,U,0.200,1.00
DPT31A,2020-05-30T15:44:00Z,Vinyl chloride,27.9,29.9,0,ug/L,ND,2.50U,U,1.00,5.00
DPT31A,2020-05-30T09:30:00Z,Vinyl chloride,29.9,31.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT31A,2020-05-30T11:03:00Z,Vinyl chloride,35,37,0,ug/L,ND,1.00U,U,0.400,2.00
DPT32A,2020-06-04T08:35:00Z,Vinyl chloride,12.5,14.5,4.02,ug/L,4.02,4.02,NA,0.200,1.00
DPT32A,2020-06-04T10:26:00Z,Vinyl chloride,19.9,21.9,151,ug/L,151,151,NA,10.0,50.0
DPT32A,2020-06-04T13:58:00Z,Vinyl chloride,32.5,34.5,0,ug/L,ND,50.0U,U,20.0,100
DPT32A,2020-06-04T16:15:00Z,Vinyl chloride,40,42,0,ug/L,ND,50.0U,U,20.0,100
DPT32A,2020-06-04T17:05:00Z,Vinyl chloride,47,49,0,ug/L,ND,50.0U,U,20.0,100
DPT33A,2020-06-02T12:10:00Z,Vinyl chloride,12,14,0,ug/L,ND,0.500U,U,0.200,1.00
DPT33A,2020-06-02T13:53:00Z,Vinyl chloride,18,20,28.7,ug/L,28.7,28.7,NA,0.200,1.00
DPT33A,2020-06-03T08:33:00Z,Vinyl chloride,25,27,0,ug/L,ND,5.00U,U,2.00,10.0
DPT33A,2020-06-03T12:28:00Z,Vinyl chloride,32,34,0,ug/L,ND,12.5U,U,5.00,25.0
DPT33A,2020-06-03T16:05:00Z,Vinyl chloride,36.5,38.5,0,ug/L,ND,50.0U,U,20.0,100
DPT34A,2020-06-03T16:34:00Z,Vinyl chloride,11,13,0.657,ug/L,0.657,0.657J,J,0.200,1.00
DPT34A,2020-06-04T08:56:00Z,Vinyl chloride,19.8,21.8,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T11:42:00Z,Vinyl chloride,28,30,0,ug/L,ND,1.00U,U,0.400,2.00
DPT34A,2020-06-04T14:41:00Z,Vinyl chloride,35,37,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T15:57:00Z,Vinyl chloride,40.3,42.3,0,ug/L,ND,2.50U,U,1.00,5.00
DPT34A,2020-06-04T17:01:00Z,Vinyl chloride,44,46,0,ug/L,ND,2.50U,U,1.00,5.00
DPT35A,2020-06-08T12:53:00Z,Vinyl chloride,15,17,2.9699999999999998,ug/L,2.97,2.97,NA,0.200,1.00
DPT35A,2020-06-08T17:05:00Z,Vinyl chloride,27,29,0.6649999999999999,ug/L,0.665,0.665J,J,0.200,1.00
DPT35A,2020-06-09T09:58:00Z,Vinyl chloride,39,41,0,ug/L,ND,1.00U,U,0.400,2.00
DPT35A,2020-06-09T14:01:00Z,Vinyl chloride,54,56,0,ug/L,ND,2.50U,U,1.00,5.00
DPT35A,2020-06-09T16:23:00Z,Vinyl chloride,59.5,61.5,0,ug/L,ND,1.00U,U,0.400,2.00
DPT36A,2020-06-03T09:11:00Z,Vinyl chloride,12,14,3.6,ug/L,3.6,3.60,NA,0.200,1.00
DPT36A,2020-06-03T12:14:00Z,Vinyl chloride,24,26,0,ug/L,ND,50.0U,U,20.0,100
DPT37A,2020-06-01T11:09:00Z,Vinyl chloride,12.1,14.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT37A,2020-06-01T13:31:00Z,Vinyl chloride,18.1,20.1,2.18,ug/L,2.18,2.18,NA,0.200,1.00
DPT37A,2020-06-02T12:08:00Z,Vinyl chloride,32.2,34.2,123,ug/L,123,123,NA,0.400,2.00
DPT37A,2020-06-02T13:16:00Z,Vinyl chloride,38.5,40.5,151,ug/L,151,151,NA,5.00,25.0
DPT38A,2020-06-10T11:22:00Z,Vinyl chloride,21.7,23.7,6.17,ug/L,6.17,6.17,NA,0.400,2.00
DPT38A,2020-06-10T13:39:00Z,Vinyl chloride,28.3,30.3,0,ug/L,ND,25.0U,U,10.0,50.0
DPT38A,2020-06-11T10:56:00Z,Vinyl chloride,35.9,37.9,0,ug/L,ND,25.0U,U,10.0,50.0
DPT38A,2020-06-11T10:21:00Z,Vinyl chloride,45,47,0,ug/L,ND,12.5U,U,5.00,25.0
DPT39A,2020-06-10T11:08:00Z,Vinyl chloride,13,15,8.79,ug/L,8.79,8.79,NA,0.200,1.00
DPT39A,2020-06-10T12:27:00Z,Vinyl chloride,20.1,22.1,15.1,ug/L,15.1,15.1,NA,0.200,1.00
DPT39A,2020-06-10T14:15:00Z,Vinyl chloride,29,31,0,ug/L,ND,50.0U,U,20.0,100
DPT39A,2020-06-10T15:59:00Z,Vinyl chloride,35,37,0,ug/L,ND,25.0U,U,10.0,50.0
DPT39A,2020-06-11T08:33:00Z,Vinyl chloride,40,42,0,ug/L,ND,25.0U,U,10.0,50.0
DPT39A,2020-06-11T13:27:00Z,Vinyl chloride,50.5,52.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT04A,2020-06-28T14:30:00Z,Vinyl chloride,55,57,0,ug/L,ND,0.500U,U,0.200,1.00
DPT04A,2020-06-28T16:41:00Z,Vinyl chloride,87.6,89.6,0,ug/L,ND,0.500U,U,0.200,1.00
DPT04A,2020-06-29T09:15:00Z,Vinyl chloride,93,95,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T10:42:00Z,Vinyl chloride,11,13,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T11:59:00Z,Vinyl chloride,18,20,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-01T14:34:00Z,Vinyl chloride,25,27,0,ug/L,ND,0.500U,U,0.200,1.00
DPT40A,2020-06-02T09:54:00Z,Vinyl chloride,27.5,29.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-30T12:15:00Z,Vinyl chloride,15,17,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-30T13:31:00Z,Vinyl chloride,21,23,0,ug/L,ND,0.500U,U,0.200,1.00
DPT41A,2020-05-31T10:17:00Z,Vinyl chloride,31,33,0,ug/L,ND,2.50U,U,1.00,5.00
DPT42A,2020-05-28T11:10:00Z,Vinyl chloride,19.5,21.5,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-05-28T13:30:00Z,Vinyl chloride,26.3,28.3,0,ug/L,ND,0.500U,U,0.200,1.00
DPT42A,2020-06-09T16:33:00Z,Vinyl chloride,46,48,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-30T15:04:00Z,Vinyl chloride,23.4,25.4,0,ug/L,ND,0.500U,U,0.200,1.00
DPT43A,2020-05-31T09:01:00Z,Vinyl chloride,26.8,28.8,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-28T16:12:00Z,Vinyl chloride,16.7,18.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-29T12:57:00Z,Vinyl chloride,31.1,33.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT44A,2020-05-29T15:02:00Z,Vinyl chloride,35,37,0,ug/L,ND,0.500U,U,0.200,1.00
DPT45A,2020-05-28T09:58:00Z,Vinyl chloride,14,16,52.7,ug/L,52.7,52.7,NA,5.00,25.0
DPT45A,2020-05-28T12:50:00Z,Vinyl chloride,21,23,0,ug/L,ND,50.0U,U,20.0,100
DPT45A,2020-05-28T15:13:00Z,Vinyl chloride,30,32,0,ug/L,ND,25.0U,U,10.0,50.0
DPT46A,2020-06-26T10:29:00Z,Vinyl chloride,47.5,49.5,4.619999999999999,ug/L,4.62,4.62J,J,2.00,10.0
DPT46A,2020-06-26T12:26:00Z,Vinyl chloride,55.5,57.5,8.129999999999999,ug/L,8.13,8.13J,J,2.00,10.0
DPT46A,2020-06-26T16:37:00Z,Vinyl chloride,65.5,67.5,8.16,ug/L,8.16,8.16J,J,2.00,10.0
DPT46A,2020-06-27T09:58:00Z,Vinyl chloride,70,72,1.55,ug/L,1.55,1.55J,J,1.00,5.00
DPT05A,2020-06-28T16:09:00Z,Vinyl chloride,48,50,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T10:29:00Z,Vinyl chloride,53.7,55.7,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T13:35:00Z,Vinyl chloride,58.6,60.6,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T16:06:00Z,Vinyl chloride,66.1,68.1,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-29T18:01:00Z,Vinyl chloride,73.9,75.9,0,ug/L,ND,0.500U,U,0.200,1.00
DPT05A,2020-06-30T10:11:00Z,Vinyl chloride,83.5,85.5,0,ug/L,ND,12.5U,U,5.00,25.0
DPT08A,2020-07-06T14:09:00Z,Vinyl chloride,58.5,60.5,4.64,ug/L,4.64,4.64,NA,0.400,2.00
DPT08A,2020-07-07T11:09:00Z,Vinyl chloride,62.8,64.8,1.47,ug/L,1.47,1.47J,J,0.400,2.00
DPT08A,2020-07-07T14:11:00Z,Vinyl chloride,70.5,72.5,1.4,ug/L,1.4,1.40J,J,0.400,2.00
DPT08A,2020-07-06T15:59:00Z,Vinyl chloride,75,77,0,ug/L,ND,5.00U,U,2.00,10.0
DPT09A,2020-07-14T10:01:00Z,Vinyl chloride,50.5,52.5,15.1,ug/L,15.1,15.1J,J,10.0,50.0
DPT09A,2020-07-14T15:00:00Z,Vinyl chloride,82.7,84.7,0,ug/L,ND,12.5U,U,5.00,25.0
